IP:Port,Loss,Latency
188.114.97.235:880,0%,5.66
162.159.195.208:3581,0%,5.66
188.114.99.56:8319,0%,5.67
188.114.99.145:3581,0%,5.67
188.114.99.37:955,0%,5.69
188.114.97.183:2408,0%,5.69
162.159.192.123:859,0%,5.70
162.159.192.223:1701,0%,5.70
188.114.96.29:3138,0%,5.70
162.159.192.134:987,0%,5.70
162.159.192.18:2371,0%,5.71
162.159.195.47:928,0%,5.71
188.114.97.90:7103,0%,5.71
162.159.192.164:4500,0%,5.73
188.114.96.231:1701,0%,5.73
188.114.97.47:3581,0%,5.74
188.114.98.200:1387,0%,5.74
188.114.99.204:2371,0%,5.75
188.114.97.10:943,0%,5.75
188.114.96.145:903,0%,5.75
188.114.97.49:3581,0%,5.76
188.114.98.128:7103,0%,5.77
162.159.195.92:7281,0%,5.78
162.159.195.84:1002,0%,5.79
162.159.195.191:8854,0%,5.79
188.114.98.132:968,0%,5.79
188.114.98.134:4177,0%,5.79
188.114.96.196:1180,0%,5.80
188.114.99.189:2408,0%,5.80
188.114.99.137:8886,0%,5.80
162.159.192.249:854,0%,5.80
162.159.192.84:968,0%,5.80
188.114.97.128:1002,0%,5.82
188.114.99.250:7156,0%,5.82
162.159.192.178:8886,0%,5.83
188.114.99.93:2506,0%,5.85
162.159.192.146:903,0%,5.85
188.114.96.85:7152,0%,5.87
188.114.98.104:7156,0%,5.89
162.159.192.38:903,0%,5.91
162.159.192.49:1074,0%,5.91
162.159.192.155:1843,0%,5.91
162.159.192.86:946,0%,5.92
188.114.96.244:890,0%,5.93
162.159.195.157:2506,0%,5.93
162.159.192.161:859,0%,5.93
162.159.192.213:880,0%,5.93
162.159.192.56:7103,0%,5.94
188.114.98.240:500,0%,5.95
188.114.96.144:1843,0%,5.95
188.114.97.195:1180,0%,5.96
188.114.98.146:1074,0%,5.96
162.159.192.233:7559,0%,5.97
188.114.99.154:4198,0%,5.97
188.114.98.122:7559,0%,5.98
188.114.97.91:864,0%,5.98
188.114.99.206:4177,0%,5.99
188.114.96.194:928,0%,5.99
188.114.96.246:3476,0%,5.99
188.114.98.215:894,0%,6.00
188.114.96.60:946,0%,6.00
162.159.195.113:4198,0%,6.00
188.114.99.11:4198,0%,6.01
188.114.97.129:4233,0%,6.01
162.159.192.90:934,0%,6.02
162.159.192.83:890,0%,6.04
188.114.97.78:955,0%,6.04
188.114.98.53:2371,0%,6.04
188.114.98.0:864,0%,6.05
162.159.195.106:1180,0%,6.05
162.159.195.67:859,0%,6.06
188.114.97.68:1387,0%,6.06
188.114.98.17:7559,0%,6.08
188.114.98.14:2371,0%,6.08
188.114.96.81:1387,0%,6.09
188.114.99.250:890,0%,6.09
188.114.97.247:955,0%,6.11
162.159.195.59:890,0%,6.13
188.114.97.112:942,0%,6.13
162.159.192.129:939,0%,6.13
188.114.96.162:1701,0%,6.13
162.159.192.143:5279,0%,6.14
188.114.96.23:880,0%,6.14
188.114.96.14:1843,0%,6.21
188.114.98.228:968,0%,6.21
188.114.97.159:7281,0%,6.23
188.114.97.164:1387,0%,6.24
188.114.97.203:854,0%,6.24
162.159.195.108:7103,0%,6.24
188.114.96.242:3854,0%,6.30
188.114.99.101:943,0%,6.32
188.114.96.79:4233,0%,6.33
188.114.98.176:1843,0%,6.34
188.114.99.144:878,0%,6.36
188.114.99.244:894,0%,6.36
162.159.192.118:878,0%,6.37
188.114.96.100:7152,0%,6.39
188.114.98.185:1010,0%,6.42
162.159.195.47:1018,0%,6.42
162.159.195.65:878,0%,6.43
162.159.195.42:908,0%,6.44
162.159.195.11:3138,0%,6.44
188.114.99.173:7156,0%,6.44
162.159.195.45:1014,0%,6.45
188.114.99.221:987,0%,6.47
188.114.98.6:7156,0%,6.47
188.114.99.240:946,0%,6.47
188.114.98.41:903,0%,6.47
162.159.195.225:943,0%,6.48
188.114.98.154:7156,0%,6.48
188.114.98.132:2371,0%,6.48
162.159.195.57:7156,0%,6.49
162.159.192.197:955,0%,6.49
188.114.96.184:891,0%,6.49
162.159.192.13:864,0%,6.50
188.114.97.72:943,0%,6.50
188.114.99.199:908,0%,6.50
162.159.195.229:5956,0%,6.51
188.114.99.172:988,0%,6.51
188.114.96.180:2408,0%,6.51
162.159.195.110:2408,0%,6.52
188.114.99.70:4233,0%,6.52
162.159.195.85:7103,0%,6.52
188.114.99.14:2408,0%,6.54
188.114.97.128:3476,0%,6.55
162.159.192.148:5279,0%,6.56
162.159.192.205:903,0%,6.57
188.114.98.13:8319,0%,6.57
162.159.195.184:908,0%,6.58
162.159.192.52:3476,0%,6.58
188.114.97.252:890,0%,6.59
188.114.97.178:890,0%,6.60
188.114.98.81:1018,0%,6.60
188.114.97.225:987,0%,6.61
162.159.192.196:3581,0%,6.61
188.114.99.135:3138,0%,6.62
188.114.96.104:2506,0%,6.63
162.159.195.185:939,0%,6.64
188.114.99.199:2371,0%,6.66
188.114.99.149:1843,0%,6.67
188.114.99.94:2371,0%,6.68
162.159.192.168:878,0%,6.71
188.114.98.85:1180,0%,6.72
188.114.97.31:7156,0%,6.73
162.159.195.146:2408,0%,6.73
188.114.99.240:894,0%,6.74
162.159.192.182:1701,0%,6.74
188.114.98.40:988,0%,6.76
162.159.195.57:3581,0%,6.76
162.159.192.152:1180,0%,6.80
162.159.195.38:3138,0%,6.83
188.114.96.146:1070,0%,6.85
162.159.192.221:968,0%,6.86
188.114.97.59:987,0%,6.97
188.114.97.68:988,0%,6.98
188.114.98.202:1843,0%,7.01
188.114.99.231:1180,0%,7.03
188.114.97.185:1180,0%,7.04
162.159.192.49:8742,0%,7.06
188.114.96.57:3581,0%,7.09
188.114.98.15:2408,0%,7.11
162.159.195.128:894,0%,7.11
188.114.98.90:7559,0%,7.13
188.114.99.210:1701,0%,7.17
162.159.195.55:5956,0%,7.30
188.114.96.141:7152,0%,7.43
162.159.192.249:4500,0%,7.48
188.114.96.7:4500,0%,7.61
162.159.195.217:890,0%,7.68
188.114.99.210:5956,0%,8.33
162.159.192.204:8319,0%,9.03
